AABA;13/10/2017 06:27:11;NA;4110000;6770000;NA;4110988;6418127;NA;4109907;6509947
AAL;13/10/2017 06:27:28;NA;0;4720000;NA;2943045;5917698;NA;2943045;5981268
AAPL;13/10/2017 06:27:44;NA;16130000;29240000;NA;16125054;27475076;NA;16125054;28990204
ADBE;13/10/2017 06:27:59;NA;2430000;2580000;NA;2430193;2049823;NA;2430193;2137419
ADI;13/10/2017 06:28:14;NA;2310000;2550000;NA;2309617;2262324;NA;2309617;2307139
ADP;13/10/2017 06:28:33;NA;1130000;2890000;NA;1132738;4590166;NA;1132738;4280177
ADSK;13/10/2017 06:28:56;NA;1240000;1830000;NA;1236621;1817829;NA;1236621;1899413
AKAM;13/10/2017 06:29:12;NA;1170000;1640000;NA;1171001;1916483;NA;1171001;1604697
ALXN;13/10/2017 06:29:27;NA;855800;1570000;NA;855800;1561236;NA;855800;1478810
AMAT;13/10/2017 06:29:44;NA;12610000;10690000;NA;12611372;10147733;NA;12611372;10400908
AMGN;13/10/2017 06:30:19;NA;2220000;2670000;NA;2223755;2497100;NA;2223755;2368350
AMZN;13/10/2017 06:30:53;NA;NA;NA;NA;4067317;3382040;NA;4067317;3105392
ATVI;13/10/2017 06:31:08;NA;4720000;6150000;NA;4715631;5891541;NA;4715631;6016393
AVGO;13/10/2017 06:31:20;NA;2010000;2530000;NA;2007191;2455278;NA;2007191;2601009
BATRA;13/10/2017 06:31:35;NA;43334;50193;NA;43334;63032;NA;43334;48223
BATRK;13/10/2017 06:31:47;NA;114956;131507;NA;114956;170029;NA;114956;135049
BBBY;13/10/2017 06:32:02;NA;4810000;4830000;NA;4805413;4249066;NA;4802413;3863086
BIDU;13/10/2017 06:32:21;NA;2190000;2510000;NA;2186058;2912083;NA;2181891;2643821
BIIB;13/10/2017 06:32:38;NA;1120000;1320000;NA;1120224;1265958;NA;1120224;1202508
BMRN;13/10/2017 06:33:08;NA;1290000;1360000;NA;1286640;1318423;NA;1286640;1324122
CA;13/10/2017 06:33:23;NA;1300000;1510000;NA;1295747;2375115;NA;1295747;1975460
CELG;13/10/2017 06:33:38;NA;4250000;40000000;NA;4254177;3598287;NA;4254177;3584946
CERN;13/10/2017 06:33:53;NA;1940000;2200000;NA;1938911;1848929;NA;1938911;1950683
CHKP;13/10/2017 06:34:22;NA;544591;686052;NA;544591;850403;NA;544591;702263
CHTR;13/10/2017 06:34:35;NA;NA;NA;NA;2582612;1775247;NA;2582612;1766110
CMCSA;13/10/2017 06:34:49;NA;50700000;25040000;NA;50704486;20332058;NA;50704486;20818252
COST;13/10/2017 06:35:05;NA;3600000;3440000;NA;3596284;3576866;NA;3596284;3404293
CSCO;13/10/2017 06:35:19;NA;17910000;19340000;NA;17905601;19616303;NA;17905601;20453426
CSX;13/10/2017 06:35:34;NA;5130000;5490000;NA;5134345;6979986;NA;5134345;5818514
CTRP;13/10/2017 06:35:47;NA;2020000;4340000;NA;2024448;4236858;NA;2019227;4697042
CTSH;13/10/2017 06:36:02;NA;2680000;2620000;NA;2675616;2998529;NA;2675616;2937525
CTXS;13/10/2017 06:36:16;NA;1260000;1490000;NA;1256477;1417584;NA;1256477;1516128
DISCA;13/10/2017 06:36:31;NA;11050000;3380000;NA;11046839;4268227;NA;11046839;3581374
DISCK;13/10/2017 06:36:45;NA;5530000;2570000;NA;5532430;2744021;NA;5532430;2695574
DISH;13/10/2017 06:37:00;NA;5240000;2050000;NA;5235637;1940295;NA;5235637;1976669
DLTR;13/10/2017 06:37:13;NA;2190000;2240000;NA;2185270;2597672;NA;2185270;2695146
EA;13/10/2017 06:37:26;NA;2050000;2220000;NA;2046614;2332515;NA;2046614;2131559
EBAY;13/10/2017 06:37:44;NA;10050000;7320000;NA;10045740;8110967;NA;10045740;7139954
ENDP;13/10/2017 06:38:01;NA;0;12708;NA;8339614;5988566;NA;8339614;6539033
ESRX;13/10/2017 06:38:19;NA;3770000;3580000;NA;3766891;3190996;NA;3766891;3246831
EXPE;13/10/2017 06:38:34;NA;1380000;1860000;NA;1383952;1884107;NA;1383952;1949045
FAST;13/10/2017 06:38:47;NA;4630000;2590000;NA;4633013;3169376;NA;4633013;2564566
FB;13/10/2017 06:39:01;NA;10350000;14390000;NA;10351044;15857487;NA;10351044;13643242
FISV;13/10/2017 06:39:16;NA;1410000;787323;NA;1410669;756449;NA;1410669;781233
FOX;13/10/2017 06:39:31;NA;NA;NA;NA;4765116;2504941;NA;4765116;2597830
FOXA;13/10/2017 06:39:43;NA;13160000;7270000;NA;13160657;7537969;NA;13160657;6883057
GILD;13/10/2017 06:39:57;NA;6760000;10590000;NA;6763601;9321046;NA;6763601;9597431
GOOG;13/10/2017 06:40:10;NA;1260000;1330000;NA;1262793;1428675;NA;1262793;1276871
GOOGL;13/10/2017 06:40:22;NA;NA;NA;NA;1530664;1618635;NA;1530664;1448393
HSIC;13/10/2017 06:40:37;NA;811887;1500000;NA;811887;1225260;NA;811887;1397715
ILMN;13/10/2017 06:40:51;NA;657641;742273;NA;657641;883267;NA;657641;857061
INCY;13/10/2017 06:41:07;NA;1590000;1980000;NA;1590822;1463944;NA;1590822;1567546
INTC;13/10/2017 06:41:22;NA;18290000;22760000;NA;18286944;22274740;NA;18286944;22157468
INTU;13/10/2017 06:41:37;NA;1090000;1390000;NA;1094502;1298739;NA;1094502;1352064
ISRG;13/10/2017 06:41:52;NA;842875;748018;NA;842875;919923;NA;842875;807582
JD;13/10/2017 06:42:08;NA;14540000;13440000;NA;14544883;12977575;NA;14512304;14204965
KHC;13/10/2017 06:42:21;NA;2490000;3420000;NA;2485407;3111267;NA;2485407;3265427
LBTYA;13/10/2017 06:42:35;NA;2860000;2270000;NA;2858190;2107047;NA;2858190;2184683
LBTYK;13/10/2017 06:42:47;NA;3870000;3160000;NA;3874481;2788149;NA;3874481;NA
LLTC;13/10/2017 06:43:13;NA;0;2660000;NA;0;NA;NA;NA;NA
LMCA;13/10/2017 06:43:41;NA;0;357056;NA;0;NA;NA;NA;NA
LMCK;13/10/2017 06:43:50;NA;NA;NA;NA;NA;NA;NA;NA;NA
LRCX;13/10/2017 06:44:01;NA;2140000;1890000;NA;2138747;2133367;NA;2138747;2054755
LVNTA;13/10/2017 06:44:15;NA;771655;548646;NA;771655;583636;NA;771655;534504
MAR;13/10/2017 06:44:44;NA;1740000;2230000;NA;1739112;2133798;NA;1739112;2306823
MAT;13/10/2017 06:45:01;NA;6560000;8060000;NA;6555915;7492133;NA;6555915;7254924
MDLZ;13/10/2017 06:45:13;NA;5110000;9990000;NA;5110189;8345689;NA;5110189;9141761
MELI;13/10/2017 06:45:28;NA;3160000;651177;NA;3157432;775609;NA;3130103;804133
MNST;13/10/2017 06:45:50;NA;8731;9492;NA;1398891;1854358;NA;1398891;1925011
MSFT;13/10/2017 06:46:02;NA;16880000;17930000;NA;16876538;19967098;NA;16876538;17876252
MU;13/10/2017 06:46:15;NA;66790000;35680000;NA;66789764;30723946;NA;66789764;30873788
MXIM;13/10/2017 06:46:32;NA;1450000;1790000;NA;1447144;2036133;NA;1447144;1900491
MYL;13/10/2017 06:46:44;NA;NA;NA;NA;3954181;7126792;NA;3954181;8206194
NCLH;13/10/2017 06:46:57;NA;33550000;2140000;NA;33545860;1979126;NA;33545860;2259550
NFLX;13/10/2017 06:47:10;NA;7750000;6710000;NA;7753341;7345480;NA;7753341;6356672
NTAP;13/10/2017 06:47:25;NA;3470000;2830000;NA;3473601;3149329;NA;3473601;2931847
NTES;13/10/2017 06:47:38;NA;899960;1350000;NA;899960;1309756;NA;899937;1435331
NVDA;13/10/2017 06:48:07;NA;13210000;16330000;NA;13207315;16984232;NA;13207315;16452465
NXPI;13/10/2017 06:48:33;NA;1270000;1550000;NA;1273664;1703586;NA;1273664;1564332
ORLY;13/10/2017 06:48:46;NA;707092;1060000;NA;707092;1410195;NA;707092;1209048
PAYX;13/10/2017 06:49:00;NA;2060000;2160000;NA;2055148;2205732;NA;2055148;2124020
PCAR;13/10/2017 06:49:14;NA;2730000;1650000;NA;2732121;1615824;NA;2732121;1581190
PCLN;13/10/2017 06:49:27;NA;NA;NA;NA;235260;427736;NA;235260;450179
PYPL;13/10/2017 06:49:40;NA;8890000;6870000;NA;8888300;7466816;NA;8888300;6448773
QCOM;13/10/2017 06:49:53;NA;7060000;7630000;NA;7062303;8276407;NA;7062303;7741777
QVCA;13/10/2017 06:50:07;NA;4460000;3820000;NA;4455769;3705000;NA;4455769;3950286
REGN;13/10/2017 06:50:19;NA;704789;838802;NA;704789;740938;NA;704789;751511
ROST;13/10/2017 06:50:32;NA;3250000;2790000;NA;3254305;3509800;NA;3254305;3362673
SBAC;13/10/2017 06:50:44;NA;1150000;2060000;NA;1147346;1476303;NA;1147346;1657469
SBUX;13/10/2017 06:50:58;NA;7230000;8530000;NA;7234267;10152370;NA;7234267;9196972
SIRI;13/10/2017 06:51:10;NA;181350000;121630000;NA;20327637;17443807;NA;20327637;15978892
SRCL;13/10/2017 06:51:27;NA;816712;636157;NA;816712;741162;NA;816712;792932
STX;13/10/2017 06:51:56;NA;5110000;4800000;NA;5111119;5475684;NA;5111119;4666430
SWKS;13/10/2017 06:52:09;NA;1100000;1520000;NA;1103417;1613803;NA;1103417;1469166
SYMC;13/10/2017 06:52:23;NA;3770000;6080000;NA;3770596;6787610;NA;3770596;6891131
TMUS;13/10/2017 06:52:36;NA;2510000;3840000;NA;2506553;3613406;NA;2506553;3266711
TRIP;13/10/2017 06:53:04;NA;2490000;2540000;NA;2490496;2973892;NA;2490496;3175065
TSCO;13/10/2017 06:53:16;NA;3090000;1770000;NA;3094368;2219038;NA;3094368;1969334
TSLA;13/10/2017 06:53:31;NA;4090000;5670000;NA;4087048;6136770;NA;4087048;5824770
TXN;13/10/2017 06:53:43;NA;3540000;40000000;NA;3537901;4021916;NA;3537901;3877515
ULTA;13/10/2017 06:53:57;NA;5500000;1110000;NA;5495992;1305640;NA;5495992;1316380
VIAB;13/10/2017 06:54:10;NA;17930000;4880000;NA;17926619;5135230;NA;17926619;5279845
VOD;13/10/2017 06:54:25;NA;4930000;2600000;NA;4929492;2582615;NA;4929492;2602304
VRTX;13/10/2017 06:54:37;NA;1540000;1530000;NA;1535039;1832384;NA;1535039;1365166
WBA;13/10/2017 06:54:50;NA;6120000;6890000;NA;6119253;5779061;NA;6119253;5876789
WDC;13/10/2017 06:55:20;NA;2160000;4320000;NA;2160699;4191255;NA;2160699;4225212
WFM;13/10/2017 06:55:31;NA;0;6390000;NA;NA;NA;NA;NA;NA
XLNX;13/10/2017 06:55:44;NA;2190000;2150000;NA;2185935;2369878;NA;2185935;2204962
AABA;13/10/2017 07:27:42;NA;4110000;6770000;NA;4110988;6391570;NA;4109907;6509947
AAL;13/10/2017 07:27:56;NA;189016;4720000;NA;2943045;5834535;NA;2943045;5981268
AAPL;13/10/2017 07:28:14;NA;16130000;29240000;NA;16125054;27339878;NA;16125054;28990204
ADBE;13/10/2017 07:28:29;NA;2430000;2580000;NA;2430193;2059329;NA;2430193;2137419
ADI;13/10/2017 07:28:48;NA;2310000;2550000;NA;2309617;2257926;NA;2309617;2307139
ADP;13/10/2017 07:29:02;NA;1130000;2890000;NA;1132738;4590166;NA;1132738;4280177
ADSK;13/10/2017 07:29:19;NA;1240000;1830000;NA;1236621;1796521;NA;1236621;1899413
AKAM;13/10/2017 07:29:36;NA;1170000;1640000;NA;1171001;1911213;NA;1171001;1604697
ALXN;13/10/2017 07:29:57;NA;855800;1570000;NA;855800;1553300;NA;855800;1478810
AMAT;13/10/2017 07:30:13;NA;12610000;10690000;NA;12611372;10181586;NA;12611372;10400908
AMGN;13/10/2017 07:30:52;NA;2220000;2670000;NA;2223755;2500587;NA;2223755;2368350
AMZN;13/10/2017 07:31:34;NA;NA;NA;NA;4067317;3382040;NA;4067317;3105392
ATVI;13/10/2017 07:31:49;NA;4720000;6150000;NA;4715631;5808538;NA;4715631;6016393
AVGO;13/10/2017 07:32:04;NA;2010000;2530000;NA;2007191;2444020;NA;2007191;2601009
BATRA;13/10/2017 07:32:21;NA;43334;50193;NA;43334;59870;NA;43334;48223
BATRK;13/10/2017 07:32:36;NA;114956;131507;NA;114956;169406;NA;114956;135049
BBBY;13/10/2017 07:32:53;NA;4810000;4830000;NA;4805413;4278696;NA;4802413;3863086
BIDU;13/10/2017 07:33:11;NA;2190000;2510000;NA;2186058;2916521;NA;2181891;2643821
BIIB;13/10/2017 07:33:26;NA;1120000;1320000;NA;1120224;1261390;NA;1120224;1202508
BMRN;13/10/2017 07:33:58;NA;1290000;1360000;NA;1286640;1316367;NA;1286640;1324122
CA;13/10/2017 07:34:12;NA;1300000;1510000;NA;1295747;2354332;NA;1295747;1975460
CELG;13/10/2017 07:34:25;NA;4250000;40000000;NA;4254177;3626889;NA;4254177;3584946
CERN;13/10/2017 07:34:39;NA;1940000;2200000;NA;1938911;1859973;NA;1938911;1950683
CHKP;13/10/2017 07:35:06;NA;544591;686052;NA;544591;845364;NA;544591;702263
CHTR;13/10/2017 07:35:30;NA;NA;NA;NA;2582612;1798495;NA;2582612;1766110
CMCSA;13/10/2017 07:35:44;NA;50700000;25040000;NA;50704486;20905710;NA;50704486;20818252
COST;13/10/2017 07:35:58;NA;3600000;3440000;NA;3596284;3553501;NA;3596284;3404293
CSCO;13/10/2017 07:36:14;NA;17910000;19340000;NA;17905601;19616303;NA;17905601;20453426
CSX;13/10/2017 07:36:26;NA;5130000;5490000;NA;5134345;6991933;NA;5134345;5818514
CTRP;13/10/2017 07:36:39;NA;2020000;4340000;NA;2024448;4229803;NA;2019227;4697042
CTSH;13/10/2017 07:36:53;NA;2680000;2620000;NA;2675616;2990813;NA;2675616;2937525
CTXS;13/10/2017 07:37:09;NA;1260000;1490000;NA;1256477;1419447;NA;1256477;1516128
DISCA;13/10/2017 07:37:22;NA;11050000;3380000;NA;11046839;4419536;NA;11046839;3581374
DISCK;13/10/2017 07:37:37;NA;5530000;2570000;NA;5532430;2814826;NA;5532430;2695574
DISH;13/10/2017 07:37:52;NA;5240000;2050000;NA;5235637;1995969;NA;5235637;1976669
DLTR;13/10/2017 07:38:06;NA;2190000;2240000;NA;2185270;2608164;NA;2185270;2695146
EA;13/10/2017 07:38:19;NA;2050000;2220000;NA;2046614;2334095;NA;2046614;2131559
EBAY;13/10/2017 07:38:33;NA;10050000;7320000;NA;10045740;8058592;NA;10045740;7139954
ENDP;13/10/2017 07:38:44;NA;0;12708;NA;8339614;6055033;NA;8339614;6539033
ESRX;13/10/2017 07:39:01;NA;3770000;3580000;NA;3766891;3206644;NA;3766891;3246831
EXPE;13/10/2017 07:39:15;NA;1380000;1860000;NA;1383952;1882746;NA;1383952;1949045
FAST;13/10/2017 07:39:30;NA;4630000;2590000;NA;4633013;2962253;NA;4633013;2564566
FB;13/10/2017 07:39:45;NA;10350000;14390000;NA;10351044;15857487;NA;10351044;13643242
FISV;13/10/2017 07:39:57;NA;1410000;787323;NA;1410669;768056;NA;1410669;781233
FOX;13/10/2017 07:40:11;NA;NA;NA;NA;4765116;2542049;NA;4765116;2597830
FOXA;13/10/2017 07:40:23;NA;13160000;7270000;NA;13160657;7605123;NA;13160657;6883057
GILD;13/10/2017 07:40:37;NA;6760000;10590000;NA;6763601;9321046;NA;6763601;9597431
GOOG;13/10/2017 07:40:50;NA;1260000;1330000;NA;1262793;1424526;NA;1262793;1276871
GOOGL;13/10/2017 07:41:05;NA;NA;NA;NA;1530664;1618635;NA;1530664;1448393
HSIC;13/10/2017 07:41:48;NA;811887;1500000;NA;NA;NA;NA;811887;1397715
ILMN;13/10/2017 07:42:02;NA;657641;742273;NA;657641;881261;NA;657641;857061
INCY;13/10/2017 07:42:15;NA;1590000;1980000;NA;1590822;1475876;NA;1590822;1567546
INTC;13/10/2017 07:42:30;NA;18290000;22760000;NA;18286944;22190283;NA;18286944;22157468
INTU;13/10/2017 07:42:44;NA;1090000;1390000;NA;1094502;1295035;NA;1094502;1352064
ISRG;13/10/2017 07:43:02;NA;842875;748018;NA;842875;919923;NA;842875;807582
JD;13/10/2017 07:43:07;NA;14540000;13440000;NA;14544883;13072915;NA;14512304;14204965
KHC;13/10/2017 07:43:11;NA;2490000;3420000;NA;2485407;3087506;NA;2485407;3265427
LBTYA;13/10/2017 07:43:19;NA;2860000;2270000;NA;2858190;2090332;NA;2858190;2184683
LBTYK;13/10/2017 07:43:37;NA;3870000;3160000;NA;3874481;2821703;NA;3874481;NA
LLTC;13/10/2017 07:44:16;NA;0;2660000;NA;NA;NA;NA;NA;NA
LMCA;13/10/2017 07:44:55;NA;0;357056;NA;NA;NA;NA;NA;NA
LMCK;13/10/2017 07:45:08;NA;NA;NA;NA;NA;NA;NA;NA;NA
LRCX;13/10/2017 07:45:25;NA;2140000;1890000;NA;NA;NA;NA;2138747;2054755
LVNTA;13/10/2017 07:45:41;NA;771655;548646;NA;771655;583367;NA;771655;534504
MAR;13/10/2017 07:46:18;NA;1740000;2230000;NA;1739112;2131140;NA;1739112;2306823
MAT;13/10/2017 07:46:33;NA;6560000;8060000;NA;6555915;7548581;NA;6555915;7254924
MDLZ;13/10/2017 07:46:49;NA;5110000;9990000;NA;5110189;8341547;NA;5110189;9141761
MELI;13/10/2017 07:47:10;NA;3160000;651177;NA;3157432;811793;NA;3130103;804133
MNST;13/10/2017 07:47:48;NA;8731;9492;NA;1398891;1856035;NA;1398891;1925011
MSFT;13/10/2017 07:48:04;NA;16880000;17930000;NA;16876538;19967098;NA;16876538;17876252
MU;13/10/2017 07:48:25;NA;66790000;35680000;NA;66789764;30723946;NA;66789764;30873788
MXIM;13/10/2017 07:48:44;NA;1450000;1790000;NA;1447144;2026895;NA;1447144;1900491
MYL;13/10/2017 07:49:02;NA;NA;NA;NA;3954181;7136870;NA;3954181;8206194
NCLH;13/10/2017 07:49:16;NA;33550000;2140000;NA;33545860;2476684;NA;33545860;2259550
NFLX;13/10/2017 07:49:33;NA;7750000;6710000;NA;7753341;7345480;NA;7753341;6356672
NTAP;13/10/2017 07:49:51;NA;3470000;2830000;NA;3473601;3162407;NA;3473601;2931847
NTES;13/10/2017 07:50:25;NA;899960;1350000;NA;899960;1307072;NA;899937;1435331
NVDA;13/10/2017 07:50:51;NA;13210000;16330000;NA;13207315;16744613;NA;13207315;16452465
NXPI;13/10/2017 07:51:28;NA;1270000;1550000;NA;1273664;1679160;NA;1273664;1564332
ORLY;13/10/2017 07:51:34;NA;707092;1060000;NA;707092;1375143;NA;707092;1209048
PAYX;13/10/2017 07:51:48;NA;2060000;2160000;NA;2055148;2208896;NA;2055148;2124020
PCAR;13/10/2017 07:52:09;NA;2730000;1650000;NA;2732121;1636687;NA;2732121;1581190
PCLN;13/10/2017 07:52:28;NA;NA;NA;NA;235260;427736;NA;235260;450179
PYPL;13/10/2017 07:52:44;NA;8890000;6870000;NA;8888300;7331030;NA;8888300;6448773
QCOM;13/10/2017 07:52:55;NA;7060000;7630000;NA;7062303;8290338;NA;7062303;7741777
QVCA;13/10/2017 07:53:12;NA;4460000;3820000;NA;4455769;3727478;NA;4455769;3950286
REGN;13/10/2017 07:53:30;NA;704789;838802;NA;NA;NA;NA;704789;751511
ROST;13/10/2017 07:53:56;NA;3250000;2790000;NA;3254305;3492727;NA;3254305;3362673
SBAC;13/10/2017 07:54:06;NA;1150000;2060000;NA;1147346;1483024;NA;1147346;1657469
SBUX;13/10/2017 07:54:25;NA;7230000;8530000;NA;7234267;10153284;NA;7234267;9196972
SIRI;13/10/2017 07:54:43;NA;181350000;121630000;NA;20327637;17494480;NA;20327637;15978892
SRCL;13/10/2017 07:55:05;NA;816712;636157;NA;816712;743389;NA;816712;792932
STX;13/10/2017 07:55:52;NA;5110000;4800000;NA;5111119;5475684;NA;5111119;4666430
SWKS;13/10/2017 07:56:08;NA;1100000;1520000;NA;1103417;1606075;NA;1103417;1469166
SYMC;13/10/2017 07:56:29;NA;3770000;6080000;NA;3770596;6716566;NA;3770596;6891131
TMUS;13/10/2017 07:56:54;NA;2510000;3840000;NA;2506553;3604952;NA;2506553;3266711
TRIP;13/10/2017 07:57:15;NA;2490000;2540000;NA;2490496;2984590;NA;2490496;3175065
TSCO;13/10/2017 07:57:29;NA;3090000;1770000;NA;3094368;2228335;NA;3094368;1969334
TSLA;13/10/2017 07:57:41;NA;4090000;5670000;NA;4087048;6039986;NA;4087048;5824770
TXN;13/10/2017 07:58:09;NA;3540000;40000000;NA;3537901;4014656;NA;3537901;3877515
ULTA;13/10/2017 07:58:33;NA;5500000;1110000;NA;5495992;1360760;NA;5495992;1316380
VIAB;13/10/2017 07:58:56;NA;17930000;4880000;NA;17926619;5357960;NA;17926619;5279845
VOD;13/10/2017 07:59:15;NA;4930000;2600000;NA;4929492;2603050;NA;4929492;2602304
VRTX;13/10/2017 07:59:29;NA;1540000;1530000;NA;1535039;1835249;NA;1535039;1365166
WBA;13/10/2017 07:59:49;NA;6120000;6890000;NA;6119253;5806023;NA;6119253;5876789
WDC;13/10/2017 08:00:39;NA;2160000;4320000;NA;2160699;4139024;NA;2160699;4225212
WFM;13/10/2017 08:00:47;NA;0;6390000;NA;NA;NA;NA;NA;NA
XLNX;13/10/2017 08:01:06;NA;0;2150000;NA;2185935;2378466;NA;2185935;2204962
AABA;13/10/2017 12:51:21;NA;550;6730000;NA;4110988;6391570;NA;4109907;6475243
AAL;13/10/2017 12:51:29;NA;2240000;4630000;NA;2943045;5834535;NA;2943045;5946487
AAPL;13/10/2017 12:51:34;NA;342393;28860000;NA;16125054;27339878;NA;16125054;27913972
ADBE;13/10/2017 12:51:42;NA;25919;2610000;NA;2430193;2059329;NA;2430193;2143784
